studentsNumber,outOf5Stars,url,grades,lowIncomeRaceDisbilityJson,schoolTitle,totalNumReviews,StarBreakout,types
384,4 out of 5 stars,https://www.greatschools.org/california/alpine/5785-Alpine-Elementary-School/?s_cid=gsapi,1-5,,Alpine Elementary School,25,"4,4,2,2,0",Public
244,4 out of 5 stars,https://www.greatschools.org/california/alpine/5786-Boulder-Oaks-Elementary-School/?s_cid=gsapi,1-5,,Boulder Oaks Elementary School,32,"11,1,2,1,2",Public
"1,180",4 out of 5 stars,https://www.greatschools.org/california/san-gabriel/2910-Jefferson-Middle-School/?s_cid=gsapi,6-8,,Jefferson Middle School,26,"10,3,2,0,2",Public
392,3 out of 5 stars,https://www.greatschools.org/california/pine-valley/5984-Mountain-Empire-High-School/?s_cid=gsapi,9-12,,Mountain Empire High School,12,"2,3,1,2,4",Public
492,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6236-Sessions-Elementary-School/?s_cid=gsapi,K-5,,Sessions Elementary School,23,"12,1,2,1,4",Public
985,4 out of 5 stars,https://www.greatschools.org/california/bonsall/5789-Bonsall-Elementary-School/?s_cid=gsapi,K-5,,Bonsall Elementary School,43,"13,5,1,3,4",Public
559,5 out of 5 stars,https://www.greatschools.org/california/oceanside/14993-Bonsall-West-Elementary-School/?s_cid=gsapi,K-6,,Bonsall West Elementary School,27,"19,2,1,0,2",Public
786,4 out of 5 stars,https://www.greatschools.org/california/oceanside/12226-Nichols-Elementary-School/?s_cid=gsapi,K-5,,Nichols Elementary School,64,"18,5,0,3,6",Public
737,4 out of 5 stars,https://www.greatschools.org/california/la-mesa/5973-Parkway-Middle-School/?s_cid=gsapi,7-8,,Parkway Middle School,38,"12,5,2,1,4",Public
581,3 out of 5 stars,https://www.greatschools.org/california/chula-vista/5858-Vista-Square-Elementary-School/?s_cid=gsapi,K-6,,Vista Square Elementary School,20,"4,0,3,2,3",Public
182,5 out of 5 stars,https://www.greatschools.org/california/borrego-springs/5792-Borrego-Springs-Elementary-School/?s_cid=gsapi,PK-5,,Borrego Springs Elementary School,11,"4,1,0,0,0",Public
131,3 out of 5 stars,https://www.greatschools.org/california/borrego-springs/5793-Borrego-Springs-High-School/?s_cid=gsapi,9-12,,Borrego Springs High School,5,"2,0,0,2,1",Public
98,3 out of 5 stars,https://www.greatschools.org/california/borrego-springs/5794-Borrego-Springs-Middle-School/?s_cid=gsapi,6-8,,Borrego Springs Middle School,2,"0,1,0,0,1",Public
636,4 out of 5 stars,https://www.greatschools.org/california/torrance/2962-Anza-Elementary-School/?s_cid=gsapi,K-5,,Anza Elementary School,23,"14,1,3,1,1",Public
523,5 out of 5 stars,https://www.greatschools.org/california/el-cajon/5801-Blossom-Valley-Elementary-School/?s_cid=gsapi,K-5,,Blossom Valley Elementary School,22,"15,1,0,0,0",Public
882,3 out of 5 stars,https://www.greatschools.org/california/el-cajon/5803-Cajon-Valley-Middle-School/?s_cid=gsapi,6-8,,Cajon Valley Middle School,19,"6,2,2,1,6",Public
755,5 out of 5 stars,https://www.greatschools.org/california/el-cajon/5804-Chase-Avenue-Elementary-School/?s_cid=gsapi,K-5,,Chase Avenue Elementary School,10,"8,0,1,0,0",Public
770,3 out of 5 stars,https://www.greatschools.org/california/menifee/12386-Freedom-Crest-Elementary-School/?s_cid=gsapi,K-5,,Freedom Crest Elementary School,28,"10,2,0,1,6",Public
343,3 out of 5 stars,https://www.greatschools.org/california/san-diego/31013-E3-Civic-High-School/?s_cid=gsapi,9-12,,e3 Civic High School,70,"1,5,0,3,5",Public charter
165,5 out of 5 stars,https://www.greatschools.org/california/san-diego/32174-Elevate-Elementary/?s_cid=gsapi,K-5,,Elevate Elementary,21,"5,0,0,1,0",Public charter
715,4 out of 5 stars,https://www.greatschools.org/california/solana-beach/6092-Earl-Warren-Middle-School/?s_cid=gsapi,7-8,,Earl Warren Middle School,52,"12,1,4,0,6",Public
262,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6142-Florence-Elementary-School/?s_cid=gsapi,K-5,,Florence Elementary School,33,"9,6,1,4,3",Public
295,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6145-Freese-Elementary-School/?s_cid=gsapi,K-5,,Freese Elementary School,9,"4,0,0,1,0",Public
517,5 out of 5 stars,https://www.greatschools.org/california/san-diego/6152-Green-Elementary-School/?s_cid=gsapi,K-5,,Green Elementary School,37,"14,0,0,2,0",Public
749,4 out of 5 stars,https://www.greatschools.org/california/santee/6068-Hill-Creek-Elementary-School/?s_cid=gsapi,K-8,,Hill Creek Elementary School,39,"19,1,1,2,3",Public
studentsNumber,outOf5Stars,url,grades,lowIncomeRaceDisbilityJson,schoolTitle,totalNumReviews,StarBreakout,types
384,4 out of 5 stars,https://www.greatschools.org/california/alpine/5785-Alpine-Elementary-School/?s_cid=gsapi,1-5,,Alpine Elementary School,25,"4,4,2,2,0",Public
244,4 out of 5 stars,https://www.greatschools.org/california/alpine/5786-Boulder-Oaks-Elementary-School/?s_cid=gsapi,1-5,,Boulder Oaks Elementary School,32,"11,1,2,1,2",Public
"1,180",4 out of 5 stars,https://www.greatschools.org/california/san-gabriel/2910-Jefferson-Middle-School/?s_cid=gsapi,6-8,,Jefferson Middle School,26,"10,3,2,0,2",Public
392,3 out of 5 stars,https://www.greatschools.org/california/pine-valley/5984-Mountain-Empire-High-School/?s_cid=gsapi,9-12,,Mountain Empire High School,12,"2,3,1,2,4",Public
492,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6236-Sessions-Elementary-School/?s_cid=gsapi,K-5,,Sessions Elementary School,23,"12,1,2,1,4",Public
985,4 out of 5 stars,https://www.greatschools.org/california/bonsall/5789-Bonsall-Elementary-School/?s_cid=gsapi,K-5,,Bonsall Elementary School,43,"13,5,1,3,4",Public
559,5 out of 5 stars,https://www.greatschools.org/california/oceanside/14993-Bonsall-West-Elementary-School/?s_cid=gsapi,K-6,,Bonsall West Elementary School,27,"19,2,1,0,2",Public
786,4 out of 5 stars,https://www.greatschools.org/california/oceanside/12226-Nichols-Elementary-School/?s_cid=gsapi,K-5,,Nichols Elementary School,64,"18,5,0,3,6",Public
737,4 out of 5 stars,https://www.greatschools.org/california/la-mesa/5973-Parkway-Middle-School/?s_cid=gsapi,7-8,,Parkway Middle School,38,"12,5,2,1,4",Public
581,3 out of 5 stars,https://www.greatschools.org/california/chula-vista/5858-Vista-Square-Elementary-School/?s_cid=gsapi,K-6,,Vista Square Elementary School,20,"4,0,3,2,3",Public
